sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
Lrch2_ENSMUST00000134265_147498295_147498277	ENSMUST00000134265_Lrch2	265	545	609	733	665	594	904
Rnf113a1_ENSMUST00000046433_37191154_37191172	ENSMUST00000046433_Rnf113a1	416	1157	1541	1687	1434	1174	1486
Gm1720_ENSMUST00000135086_166661739_166661757	ENSMUST00000135086_Gm1720	411	1054	1098	1433	1264	1146	1350
Ppp1r3fos_ENSMUST00000149124_7574238_7574256	ENSMUST00000149124_Ppp1r3fos	372	1223	1153	1572	1460	1280	1324
Dmrtc1b_ENSMUST00000113609_102711108_102711090	ENSMUST00000113609_Dmrtc1b	367	1108	1288	935	837	1084	1289
Timm8a1_ENSMUST00000054213_134541708_134541726	ENSMUST00000054213_Timm8a1	322	1237	1238	1142	1194	1056	1470
Atp11c_ENSMUST00000033480_60404137_60404155	ENSMUST00000033480_Atp11c	321	1273	1344	1111	1006	1213	1191
Rgag4_ENSMUST00000113631_102071317_102071335	ENSMUST00000113631_Rgag4	685	2109	2231	2616	2311	2132	2398
1700111N16Rik_ENSMUST00000188663_70143748_70143730	ENSMUST00000188663_1700111N16Rik	318	697	928	770	792	753	866
Taz_ENSMUST00000146260_74281844_74281862	ENSMUST00000146260_Taz	607	2818	2375	2837	2003	2633	2448
Nkap_ENSMUST00000016553_37126677_37126695	ENSMUST00000016553_Nkap	286	960	962	837	655	833	1031
L1cam_ENSMUST00000141221_73896375_73896393	ENSMUST00000141221_L1cam	957	3489	3569	3535	3214	3327	3795
Ubl4a_ENSMUST00000155676_74368794_74368776	ENSMUST00000155676_Ubl4a	387	1230	1102	1055	1108	1142	1352
Maged2_ENSMUST00000124537_150812514_150812532	ENSMUST00000124537_Maged2	597	1630	2108	2189	2181	1936	2349
Aifm1_ENSMUST00000156795_48483060_48483078	ENSMUST00000156795_Aifm1	129	378	343	414	364	427	434
Cul4b_ENSMUST00000016681_38564877_38564895	ENSMUST00000016681_Cul4b	267	797	995	895	754	777	1041
Slc9a6_ENSMUST00000114784_56609789_56609807	ENSMUST00000114784_Slc9a6	250	650	757	649	760	703	952
Thoc2_ENSMUST00000123512_41859346_41859328	ENSMUST00000123512_Thoc2	263	873	877	1135	845	867	947
8030474K03Rik_ENSMUST00000163399_101794602_101794584	ENSMUST00000163399_8030474K03Rik	470	1418	1656	1708	1589	1694	1802
Rpl36a_ENSMUST00000113211_134585439_134585457	ENSMUST00000113211_Rpl36a	571	1663	2008	1896	1694	1681	2128
3830417A13Rik_ENSMUST00000033522_64173444_64173462	ENSMUST00000033522_3830417A13Rik	454	1608	1732	1526	1225	1534	1826
Zmat1_ENSMUST00000113185_135009355_135009373	ENSMUST00000113185_Zmat1	275	688	996	860	776	929	959
Bgn_ENSMUST00000155231_73491940_73491958	ENSMUST00000155231_Bgn	376	982	1098	1144	1048	1043	1191
Arhgap4_ENSMUST00000114405_73911376_73911358	ENSMUST00000114405_Arhgap4	307	1037	967	1022	825	781	1008
Gm9112_ENSMUST00000113610_102707711_102707729	ENSMUST00000113610_Gm9112	655	1970	2288	2783	2333	1799	2076
Ube2dnl2_ENSMUST00000062695_114907276_114907294	ENSMUST00000062695_Ube2dnl2	531	1829	1964	2024	1880	1748	2000
Magea6_ENSMUST00000112562_154936489_154936507	ENSMUST00000112562_Magea6	442	1388	1287	1105	1105	1153	1248
Cldn34b4_ENSMUST00000101419_76393281_76393263	ENSMUST00000101419_Cldn34b4	486	1522	1649	1207	1283	1692	1981
Ubqln2_ENSMUST00000060714_153498081_153498099	ENSMUST00000060714_Ubqln2	453	1614	1729	1511	1338	1321	1584
Gm14817_ENSMUST00000148522_73795028_73795010	ENSMUST00000148522_Gm14817	277	635	646	993	712	743	829
Gm14586_ENSMUST00000119571_52772942_52772924	ENSMUST00000119571_Gm14586	160	566	517	512	321	444	489
Hnrnpu_ENSMUST00000159117_178337964_178337982	ENSMUST00000159117_Hnrnpu	286	753	1296	1143	1201	839	1204
Nap1l3_ENSMUST00000079490_122397357_122397375	ENSMUST00000079490_Nap1l3	574	1543	1653	1931	1763	1803	1874
Msl3_ENSMUST00000129860_168672646_168672664	ENSMUST00000129860_Msl3	188	545	486	444	472	532	619
Slc25a53_ENSMUST00000136300_137017798_137017816	ENSMUST00000136300_Slc25a53	149	364	393	559	460	380	400
Tceanc_ENSMUST00000180322_166503697_166503715	ENSMUST00000180322_Tceanc	334	712	887	879	831	858	975
Porcn_ENSMUST00000082320_8206588_8206606	ENSMUST00000082320_Porcn	207	831	876	660	663	733	760
Plxna3_ENSMUST00000152317_74338207_74338225	ENSMUST00000152317_Plxna3	268	1100	1029	871	921	874	1041
Bcor_ENSMUST00000115513_12080765_12080783	ENSMUST00000115513_Bcor	544	2007	1901	2334	2081	1981	2167
Arhgap6_ENSMUST00000033721_168794971_168794989	ENSMUST00000033721_Arhgap6	464	1725	1460	2078	1539	1611	1703
Dkc1_ENSMUST00000153844_75100023_75100005	ENSMUST00000153844_Dkc1	266	545	645	672	667	684	794
Thoc2_ENSMUST00000143557_41807372_41807354	ENSMUST00000143557_Thoc2	300	916	880	843	840	793	944
Slc25a53_ENSMUST00000056674_136993199_136993217	ENSMUST00000056674_Slc25a53	175	564	612	568	488	578	628
negative_control_10_10_10	NA_negative_control	625	1547	1716	1920	1556	1596	1738
Gm14753_ENSMUST00000118503_78021368_78021386	ENSMUST00000118503_Gm14753	333	732	838	838	777	794	880
Ocrl_ENSMUST00000154732_47938239_47938221	ENSMUST00000154732_Ocrl	112	469	292	494	267	388	296
1110012L19Rik_ENSMUST00000053981_70385576_70385594	ENSMUST00000053981_1110012L19Rik	333	1157	958	1175	933	1227	1274
negative_control_47_47_47	NA_negative_control	573	1588	1755	2442	1809	1834	1940
Clcn5_ENSMUST00000004428_7188839_7188857	ENSMUST00000004428_Clcn5	161	354	538	390	385	355	508
Plxna3_ENSMUST00000152317_74338170_74338188	ENSMUST00000152317_Plxna3	466	1358	1435	1456	1178	1178	1463
Gm6982_ENSMUST00000118752_92593265_92593283	ENSMUST00000118752_Gm6982	315	770	970	920	824	885	993
Igbp1_ENSMUST00000033570_100494263_100494281	ENSMUST00000033570_Igbp1	175	571	573	517	536	503	632
Clcn5_ENSMUST00000132126_7319225_7319207	ENSMUST00000132126_Clcn5	280	841	892	1026	707	885	1123
Trpc5_ENSMUST00000040184_144688342_144688360	ENSMUST00000040184_Trpc5	224	694	668	784	613	763	737
Plxna3_ENSMUST00000136114_74328768_74328786	ENSMUST00000136114_Plxna3	203	638	1029	752	886	538	1034
Atrx_ENSMUST00000155445_105847209_105847191	ENSMUST00000155445_Atrx	624	1684	2283	2154	2068	1673	2487
2010204K13Rik_ENSMUST00000128571_7423108_7423090	ENSMUST00000128571_2010204K13Rik	671	1942	1988	2430	2020	2020	2306
Cited1_ENSMUST00000134887_102250945_102250963	ENSMUST00000134887_Cited1	214	637	715	853	662	772	883
Zdhhc9_ENSMUST00000132652_48208486_48208504	ENSMUST00000132652_Zdhhc9	241	571	528	437	405	684	690
Bex1_ENSMUST00000058125_136215757_136215775	ENSMUST00000058125_Bex1	381	870	1070	855	832	999	1115
Dnase1l1_ENSMUST00000019232_74281764_74281782	ENSMUST00000019232_Dnase1l1	326	1196	1423	875	1024	1101	1299
Bcorl1_ENSMUST00000114972_48361597_48361615	ENSMUST00000114972_Bcorl1	592	1749	1606	1739	1765	1737	1889
Ccdc22_ENSMUST00000033483_7605654_7605672	ENSMUST00000033483_Ccdc22	667	1915	2235	2199	1726	2037	2417
Gm15186_ENSMUST00000119345_159588301_159588283	ENSMUST00000119345_Gm15186	151	330	399	486	455	371	575
Fam120c_ENSMUST00000073364_151343898_151343916	ENSMUST00000073364_Fam120c	380	604	974	794	769	539	952
Arhgef6_ENSMUST00000033468_57338725_57338743	ENSMUST00000033468_Arhgef6	193	547	682	547	481	438	641
Capn6_ENSMUST00000087316_143827463_143827481	ENSMUST00000087316_Capn6	172	470	529	359	322	477	478
Col4a5_ENSMUST00000112931_141475320_141475338	ENSMUST00000112931_Col4a5	227	815	828	727	692	726	806
Naa10_ENSMUST00000124446_73920878_73920860	ENSMUST00000124446_Naa10	440	999	1270	1451	1307	1140	1490
negative_control_165_165_165	NA_negative_control	436	1250	1298	1094	1103	1441	1514
Gm8545_ENSMUST00000120692_74006398_74006416	ENSMUST00000120692_Gm8545	172	423	502	554	420	524	491
Gm6335_ENSMUST00000118081_112162263_112162245	ENSMUST00000118081_Gm6335	160	430	466	433	338	415	594
Ccdc22_ENSMUST00000033483_7605513_7605531	ENSMUST00000033483_Ccdc22	612	868	2003	1644	1871	1025	2225
Ikbkg_ENSMUST00000114128_74424396_74424414	ENSMUST00000114128_Ikbkg	495	1235	1277	1231	1028	1213	1516
Mid1_ENSMUST00000133857_169972709_169972727	ENSMUST00000133857_Mid1	585	1592	1511	1524	1343	1520	1875
4933436I01Rik_ENSMUST00000026325_67921600_67921618	ENSMUST00000026325_4933436I01Rik	146	242	337	408	360	327	490
Usp51_ENSMUST00000095755_153006329_153006347	ENSMUST00000095755_Usp51	470	1393	1286	1141	1100	1538	1626
Pja1_ENSMUST00000036354_99470772_99470790	ENSMUST00000036354_Pja1	757	3004	2886	2651	2165	2839	3017
Magea2_ENSMUST00000112559_155032533_155032551	ENSMUST00000112559_Magea2	601	2139	2146	2095	1797	2093	2371
Ctps2_ENSMUST00000148199_162941173_162941155	ENSMUST00000148199_Ctps2	162	527	490	708	665	541	575
Pdk3_ENSMUST00000045748_93832199_93832217	ENSMUST00000045748_Pdk3	374	1324	1267	1235	970	1278	1534
Magea4_ENSMUST00000048675_72221766_72221784	ENSMUST00000048675_Magea4	384	1285	1222	1549	1382	1356	1491
Med12_ENSMUST00000146877_101282896_101282914	ENSMUST00000146877_Med12	128	331	322	321	284	345	355
Col4a6_ENSMUST00000101205_141474303_141474321	ENSMUST00000101205_Col4a6	450	1265	1345	1394	1238	1223	1323
Renbp_ENSMUST00000114379_73930931_73930949	ENSMUST00000114379_Renbp	145	517	525	754	501	526	661
Zdhhc15_ENSMUST00000042070extra_104671040_104671058	ENSMUST00000042070extra_Zdhhc15	419	1762	1714	1776	1698	1859	2076
Gm21887_ENSMUST00000180251_170009845_170009827	ENSMUST00000180251_Gm21887	353	899	933	1133	924	992	1190
Sms_ENSMUST00000112529_157492280_157492298	ENSMUST00000112529_Sms	489	1510	1608	1462	1329	1491	1600
Prkx_ENSMUST00000114044_77796094_77796112	ENSMUST00000114044_Prkx	526	1712	1825	1781	1616	1790	1816
Zmat1_ENSMUST00000141849_134978960_134978978	ENSMUST00000141849_Zmat1	140	432	459	355	401	457	551
Zmym3_ENSMUST00000137416_101417714_101417732	ENSMUST00000137416_Zmym3	118	252	394	301	235	270	413
Adgrg4_ENSMUST00000096431_56962797_56962815	ENSMUST00000096431_Adgrg4	381	846	769	845	721	728	839
Gm15163_ENSMUST00000120749_157017649_157017631	ENSMUST00000120749_Gm15163	130	424	347	556	499	338	421
Tfe3_ENSMUST00000077680_7762490_7762508	ENSMUST00000077680_Tfe3	139	484	474	533	405	524	517
Adgrg4_ENSMUST00000136396_56894340_56894322	ENSMUST00000136396_Adgrg4	543	1479	1800	1508	1542	1670	1932
Pja1_ENSMUST00000113792_99471653_99471671	ENSMUST00000113792_Pja1	144	349	413	339	292	366	393
negative_control_81_81_81	NA_negative_control	462	1479	1575	1484	1262	1522	1772
Slc6a8_ENSMUST00000114464_73676834_73676816	ENSMUST00000114464_Slc6a8	200	632	681	763	724	762	847
Stag2_ENSMUST00000128799_42151769_42151787	ENSMUST00000128799_Stag2	156	310	267	237	218	294	358
Syp_ENSMUST00000149795_7638498_7638516	ENSMUST00000149795_Syp	355	1182	1211	1534	998	1198	1253
Plxna3_ENSMUST00000152376_74334178_74334196	ENSMUST00000152376_Plxna3	438	1144	1315	1641	1439	1175	1592
Rnf128_ENSMUST00000113026_139610476_139610494	ENSMUST00000113026_Rnf128	124	428	414	435	382	398	504
Dmd_ENSMUST00000146331_84599120_84599138	ENSMUST00000146331_Dmd	442	1182	1330	1365	1154	1223	1435
Gm14915_ENSMUST00000120747_117903209_117903191	ENSMUST00000120747_Gm14915	301	811	859	1037	926	863	957
Gm26652_ENSMUST00000181672_19225341_19225323	ENSMUST00000181672_Gm26652	220	652	749	616	581	822	797
Lancl3_ENSMUST00000069763_9199840_9199858	ENSMUST00000069763_Lancl3	172	782	656	826	526	702	714
Prkx_ENSMUST00000036333_77796289_77796307	ENSMUST00000036333_Prkx	682	2026	2145	2515	2108	2001	2503
Las1l_ENSMUST00000137659_95947723_95947705	ENSMUST00000137659_Las1l	260	873	872	559	643	784	782
Was_ENSMUST00000146029_8089132_8089150	ENSMUST00000146029_Was	430	1310	1354	1631	1408	1275	1463
Rab9_ENSMUST00000049435_166479905_166479923	ENSMUST00000049435_Rab9	452	1583	1550	1682	1556	1403	1645
Slc35a2_ENSMUST00000115663_7884041_7884059	ENSMUST00000115663_Slc35a2	152	599	487	523	435	542	600
4933428M09Rik_ENSMUST00000113046_139179163_139179181	ENSMUST00000113046_4933428M09Rik	157	438	507	457	369	427	417
Tspan7_ENSMUST00000076354_10485023_10485041	ENSMUST00000076354_Tspan7	276	1112	1012	1138	859	938	981
negative_control_7_7_7	NA_negative_control	466	1289	1297	1572	1321	1464	1549
Heph_ENSMUST00000079322_96456175_96456193	ENSMUST00000079322_Heph	560	1947	2086	2197	1868	2064	2424
Flna_ENSMUST00000144429_74246667_74246685	ENSMUST00000144429_Flna	140	348	525	339	474	353	605
Tex13c2_ENSMUST00000197237_42489554_42489572	ENSMUST00000197237_Tex13c2	486	1511	1680	1674	1472	1677	1889
Kdm5c_ENSMUST00000112584_152232976_152232994	ENSMUST00000112584_Kdm5c	546	1762	1907	1970	1752	1833	2035
Foxr2_ENSMUST00000096265_153118506_153118524	ENSMUST00000096265_Foxr2	483	1215	1341	1342	1318	1233	1454
Morf4l2_ENSMUST00000152150_136743255_136743273	ENSMUST00000152150_Morf4l2	542	1895	1960	2212	1873	1879	2063
Fam90a1b_ENSMUST00000113902_94366361_94366379	ENSMUST00000113902_Fam90a1b	266	598	855	591	671	695	1016
negative_control_93_93_93	NA_negative_control	452	1132	1238	1426	1313	1417	1400
Ftx_ENSMUST00000123841_103622711_103622693	ENSMUST00000123841_Ftx	316	796	855	847	704	849	844
Thoc2_ENSMUST00000143557_41807467_41807449	ENSMUST00000143557_Thoc2	274	658	796	1041	791	751	878
Piga_ENSMUST00000133813_164422339_164422321	ENSMUST00000133813_Piga	233	717	765	994	837	763	898
Pnma5_ENSMUST00000152209_73036352_73036334	ENSMUST00000152209_Pnma5	104	234	235	157	142	220	298
Mageb4_ENSMUST00000113969_86256416_86256434	ENSMUST00000113969_Mageb4	173	452	441	592	462	530	592
Cfp_ENSMUST00000122862_20927698_20927680	ENSMUST00000122862_Cfp	173	543	604	590	464	682	713
Slc35a2_ENSMUST00000208718_7892199_7892217	ENSMUST00000208718_Slc35a2	497	1630	1737	2170	1791	1740	2081
Uba1_ENSMUST00000137892_20677564_20677546	ENSMUST00000137892_Uba1	299	982	938	1176	1017	1016	920
Ndufa1_ENSMUST00000016571_37191252_37191270	ENSMUST00000016571_Ndufa1	209	545	520	671	557	614	653
Nxf7_ENSMUST00000113163_135598963_135598981	ENSMUST00000113163_Nxf7	281	926	895	1084	814	1056	1065
Ophn1_ENSMUST00000147529_98578551_98578533	ENSMUST00000147529_Ophn1	262	884	1043	916	804	969	1006
Mcts1_ENSMUST00000134573_38600960_38600978	ENSMUST00000134573_Mcts1	135	289	273	311	223	327	329
Dach2_ENSMUST00000123974_113724044_113724062	ENSMUST00000123974_Dach2	137	420	428	431	341	415	587
Tceanc_ENSMUST00000112187_166518770_166518752	ENSMUST00000112187_Tceanc	249	660	721	692	772	624	753
Slc6a8_ENSMUST00000114465_73673765_73673783	ENSMUST00000114465_Slc6a8	284	868	1120	914	799	1008	1275
DXBay18_ENSMUST00000080324_73149951_73149969	ENSMUST00000080324_DXBay18	218	583	749	774	562	638	714
Pcsk1n_ENSMUST00000041096_7919575_7919593	ENSMUST00000041096_Pcsk1n	541	1460	1462	1791	1561	1481	1727
Sh2d1a_ENSMUST00000189753_42502358_42502376	ENSMUST00000189753_Sh2d1a	358	808	764	1047	796	765	862
Hdac8_ENSMUST00000154872_102505220_102505238	ENSMUST00000154872_Hdac8	599	1785	1683	1969	1753	1749	2084
Vgll1_ENSMUST00000033465_57087946_57087964	ENSMUST00000033465_Vgll1	632	1733	1943	1701	1586	1521	1787
Vgll1_ENSMUST00000033465_57087630_57087612	ENSMUST00000033465_Vgll1	292	772	949	1017	837	879	1032
Wdr13_ENSMUST00000131929_8128931_8128949	ENSMUST00000131929_Wdr13	668	2230	2156	2082	1964	2214	2499
Maged2_ENSMUST00000145342_150813018_150813000	ENSMUST00000145342_Maged2	207	602	584	581	560	624	679
Yipf6_ENSMUST00000054697_98937607_98937625	ENSMUST00000054697_Yipf6	550	1743	1795	1987	1730	1754	2057
Dmd_ENSMUST00000114000_82948805_82948823	ENSMUST00000114000_Dmd	266	975	867	1106	935	898	1009
Arhgap6_ENSMUST00000143048_168795124_168795142	ENSMUST00000143048_Arhgap6	327	1229	1187	1237	1062	1230	1401
Vcp-rs_ENSMUST00000120233_104348299_104348317	ENSMUST00000120233_Vcp-rs	376	1108	1275	1370	1015	1306	1333
Emd_ENSMUST00000096424_74254722_74254740	ENSMUST00000096424_Emd	341	1040	1163	862	916	1081	1147
Gm14822_ENSMUST00000122247_104746418_104746436	ENSMUST00000122247_Gm14822	40	73	74	106	101	123	158
Gm5751_ENSMUST00000115561_8873972_8873990	ENSMUST00000115561_Gm5751	935	2555	2490	3611	2827	2597	3027
Stard8_ENSMUST00000149999_99003142_99003160	ENSMUST00000149999_Stard8	286	867	892	735	545	833	908
Xlr3a_ENSMUST00000114524_73097151_73097169	ENSMUST00000114524_Xlr3a	184	528	692	694	591	601	855
Stk26_ENSMUST00000033444_50840879_50840861	ENSMUST00000033444_Stk26	126	390	412	527	390	322	432
Gm19200_ENSMUST00000182579_103289447_103289429	ENSMUST00000182579_Gm19200	705	1869	1956	2218	1849	2052	2369
Wnk3_ENSMUST00000133852_151294041_151294059	ENSMUST00000133852_Wnk3	447	1431	1399	1842	1518	1401	1408
Taz_ENSMUST00000176453_74283743_74283725	ENSMUST00000176453_Taz	201	483	557	701	618	568	652
Rgag4_ENSMUST00000139878_102067770_102067788	ENSMUST00000139878_Rgag4	175	600	609	665	591	470	628
Cox7b_ENSMUST00000033582_106015562_106015580	ENSMUST00000033582_Cox7b	194	630	667	456	450	612	707
Med12_ENSMUST00000148846_101285735_101285717	ENSMUST00000148846_Med12	375	1094	1403	1255	1012	1179	1255
Xlr5a_ENSMUST00000114520_73115893_73115911	ENSMUST00000114520_Xlr5a	434	1450	1291	904	1017	1446	1656
Taf7l_ENSMUST00000009740_134476875_134476893	ENSMUST00000009740_Taf7l	315	965	967	919	815	1100	1091
Gm26652_ENSMUST00000181672_19225344_19225326	ENSMUST00000181672_Gm26652	257	741	816	931	651	723	763
negative_control_66_66_66	NA_negative_control	530	1148	1153	885	793	1139	1280
Slc10a3_ENSMUST00000114146_74373370_74373388	ENSMUST00000114146_Slc10a3	594	2313	1979	2228	1935	2025	2251
Ctps2_ENSMUST00000101095_162900797_162900779	ENSMUST00000101095_Ctps2	205	589	430	649	609	521	667
Gm15157_ENSMUST00000121852_155185155_155185173	ENSMUST00000121852_Gm15157	408	1307	1212	1085	1014	1236	1475
Gpm6b_ENSMUST00000060210_166238621_166238603	ENSMUST00000060210_Gpm6b	161	578	481	515	500	369	534
Zmym3_ENSMUST00000137416_101417579_101417561	ENSMUST00000137416_Zmym3	113	404	357	367	332	307	406
Map3k15_ENSMUST00000033665_159988194_159988212	ENSMUST00000033665_Map3k15	148	415	262	269	215	431	313
9530027J09Rik_ENSMUST00000180584_48285652_48285670	ENSMUST00000180584_9530027J09Rik	241	903	933	899	792	845	1028
Spin4_ENSMUST00000096367_95026763_95026781	ENSMUST00000096367_Spin4	219	859	974	827	769	1005	1057
Cul4b_ENSMUST00000115118_38576390_38576372	ENSMUST00000115118_Cul4b	321	1154	1217	1453	1175	1314	1445
Acot9_ENSMUST00000131332_155262413_155262431	ENSMUST00000131332_Acot9	670	2082	2419	1838	1893	2051	2897
Zfx_ENSMUST00000113926_94123266_94123284	ENSMUST00000113926_Zfx	1133	2959	3412	4526	3998	3051	3862
Arhgef9_ENSMUST00000198753_95166312_95166294	ENSMUST00000198753_Arhgef9	176	396	536	408	478	310	508
Timp1_ENSMUST00000009530_20870097_20870115	ENSMUST00000009530_Timp1	299	930	1104	957	813	936	1081
Tceal9_ENSMUST00000113115_136245599_136245617	ENSMUST00000113115_Tceal9	245	877	1024	865	645	1056	1058
Eda2r_ENSMUST00000037353_97377338_97377356	ENSMUST00000037353_Eda2r	235	584	692	726	542	668	698
Msl2_ENSMUST00000189616_101074622_101074640	ENSMUST00000189616_Msl2	302	1082	1218	1376	1042	1126	1321
Magea5_ENSMUST00000069556_155063335_155063353	ENSMUST00000069556_Magea5	253	887	866	992	740	825	934
L1cam_ENSMUST00000148250_73861204_73861186	ENSMUST00000148250_L1cam	279	804	1003	918	851	941	1106
Pdzd11_ENSMUST00000144643_100626047_100626065	ENSMUST00000144643_Pdzd11	375	1077	925	1187	1072	896	1107
Fhl1_ENSMUST00000144600_56786031_56786013	ENSMUST00000144600_Fhl1	531	1537	1795	1766	1428	1667	1981
Gm4984_ENSMUST00000115987_12652114_12652096	ENSMUST00000115987_Gm4984	138	457	537	449	358	450	591
Pfkfb1_ENSMUST00000142848_150613539_150613557	ENSMUST00000142848_Pfkfb1	292	863	1031	645	776	846	979
Med14_ENSMUST00000115481_12762016_12762034	ENSMUST00000115481_Med14	296	925	1173	885	931	1037	1467
Atrx_ENSMUST00000196998_105852124_105852106	ENSMUST00000196998_Atrx	115	335	384	230	236	262	379
9530051G07Rik_ENSMUST00000127673_153037082_153037100	ENSMUST00000127673_9530051G07Rik	225	791	874	990	720	681	755
Cstf2_ENSMUST00000156778_134062056_134062038	ENSMUST00000156778_Cstf2	459	1443	1559	1354	1245	1347	1585
Rragb_ENSMUST00000039720_153139808_153139826	ENSMUST00000039720_Rragb	411	1589	1506	1747	1573	1604	1658
Tbc1d25_ENSMUST00000143984_8175918_8175936	ENSMUST00000143984_Tbc1d25	632	1788	1878	1971	1727	1902	2231
Xlr_ENSMUST00000067782_53798186_53798204	ENSMUST00000067782_Xlr	83	299	407	283	275	267	408
Gripap1_ENSMUST00000065932_7789603_7789621	ENSMUST00000065932_Gripap1	589	1801	1746	1727	1528	1600	2126
Ssr4_ENSMUST00000002090_73787001_73787019	ENSMUST00000002090_Ssr4	207	588	747	721	830	661	891
Taz_ENSMUST00000131116_74288019_74288037	ENSMUST00000131116_Taz	332	863	908	1122	1071	937	1260
Gm7173_ENSMUST00000179788_79434826_79434808	ENSMUST00000179788_Gm7173	200	505	534	622	511	591	562
Atp7a_ENSMUST00000055941_106027083_106027101	ENSMUST00000055941_Atp7a	265	508	819	723	664	609	850
Fam199x_ENSMUST00000047852_137049280_137049298	ENSMUST00000047852_Fam199x	458	1151	1412	1622	1352	1553	1807
Dach2_ENSMUST00000146539_113298120_113298138	ENSMUST00000146539_Dach2	265	1053	1013	914	869	812	1016
Psmd10_ENSMUST00000033805_140956918_140956936	ENSMUST00000033805_Psmd10	629	2095	2117	2353	2153	2091	2511
Mir2137_ENSMUST00000158732_72991822_72991840	ENSMUST00000158732_Mir2137	547	1982	2029	2466	1967	2003	2167
Pdha1_ENSMUST00000033662_160138493_160138511	ENSMUST00000033662_Pdha1	162	598	358	816	419	650	556
Xlr5a_ENSMUST00000078574_73117946_73117964	ENSMUST00000078574_Xlr5a	462	1189	1539	1354	1410	1108	1868
Msl3_ENSMUST00000033725_168674040_168674058	ENSMUST00000033725_Msl3	346	1126	1271	1538	1296	1259	1506
Pnma5_ENSMUST00000114540_73037265_73037283	ENSMUST00000114540_Pnma5	519	1358	1598	1184	1245	1791	1939
Gm8692_ENSMUST00000118102_75987887_75987869	ENSMUST00000118102_Gm8692	272	614	728	820	581	917	902
Ftsj1_ENSMUST00000115594_8252557_8252575	ENSMUST00000115594_Ftsj1	444	1157	1104	1458	1065	1155	1410
Cask_ENSMUST00000132240_13851446_13851428	ENSMUST00000132240_Cask	254	681	642	741	674	626	718
Gdi1_ENSMUST00000135041_74310329_74310311	ENSMUST00000135041_Gdi1	333	819	879	875	728	895	912
Rhox6_ENSMUST00000006362_37826428_37826446	ENSMUST00000006362_Rhox6	239	731	843	784	627	705	827
Slc6a8_ENSMUST00000114464_73676712_73676730	ENSMUST00000114464_Slc6a8	619	1744	1626	1999	1540	1761	1870
Myc_ENSMUST00000161976_61985219_61985237	ENSMUST00000161976_Myc	117	179	328	97	184	122	324
Hdac6_ENSMUST00000154200_7947515_7947497	ENSMUST00000154200_Hdac6	474	1471	1626	1382	1219	1581	1897
Hs6st2_ENSMUST00000142738_51681436_51681454	ENSMUST00000142738_Hs6st2	480	1909	1928	1694	1501	1633	1888
Arhgef6_ENSMUST00000135098_57338684_57338702	ENSMUST00000135098_Arhgef6	169	378	448	529	483	393	436
Slc25a53_ENSMUST00000113069_137038311_137038329	ENSMUST00000113069_Slc25a53	756	2293	2638	2570	2288	2314	2747
Gm15104_ENSMUST00000165760_150313415_150313433	ENSMUST00000165760_Gm15104	370	1030	945	928	790	1018	997
negative_control_199_199_199	NA_negative_control	401	1221	1497	1216	1308	1188	1649
Flna_ENSMUST00000127463_74230640_74230622	ENSMUST00000127463_Flna	356	1214	1304	1175	993	1150	1122
Msn_ENSMUST00000117399_96095751_96095769	ENSMUST00000117399_Msn	214	830	862	724	772	690	832
Dlg3_ENSMUST00000087984_100767531_100767549	ENSMUST00000087984_Dlg3	443	1078	1219	1194	1195	1115	1463
Prkx_ENSMUST00000036333_77796472_77796490	ENSMUST00000036333_Prkx	170	406	496	290	330	464	511
Reps2_ENSMUST00000154424_162565979_162565961	ENSMUST00000154424_Reps2	136	407	439	505	348	445	550
Hsf3_ENSMUST00000119035_96456464_96456446	ENSMUST00000119035_Hsf3	667	2000	2142	1959	1806	2084	2312
Zic3_ENSMUST00000137687_58022619_58022637	ENSMUST00000137687_Zic3	315	880	957	716	708	1011	1060
Flna_ENSMUST00000133174_74228906_74228888	ENSMUST00000133174_Flna	330	620	1121	853	1012	618	1040
Akap17b_ENSMUST00000051906_36645404_36645422	ENSMUST00000051906_Akap17b	241	708	829	624	663	776	974
Hmgn5_ENSMUST00000033597_109013488_109013506	ENSMUST00000033597_Hmgn5	323	1087	1164	1008	857	1296	1471
Tmem185a_ENSMUST00000101506_70477535_70477517	ENSMUST00000101506_Tmem185a	464	1327	1521	1331	1273	1318	1441
negative_control_62_62_62	NA_negative_control	148	500	355	477	448	397	448
Atrx_ENSMUST00000146193_105851801_105851783	ENSMUST00000146193_Atrx	328	921	1186	1210	1027	1045	1252
Aff2_ENSMUST00000033532_69360272_69360290	ENSMUST00000033532_Aff2	441	1476	1605	1353	1267	1468	1731
2010204K13Rik_ENSMUST00000154346_7421601_7421619	ENSMUST00000154346_2010204K13Rik	352	954	951	943	750	1044	1124
Hsd17b10_ENSMUST00000151200_152001807_152001825	ENSMUST00000151200_Hsd17b10	244	912	871	1102	820	822	1128
Acsl4_ENSMUST00000112904_142390686_142390704	ENSMUST00000112904_Acsl4	370	1531	1192	1545	935	1458	1237
Klf8_ENSMUST00000039545_153359572_153359554	ENSMUST00000039545_Klf8	347	964	1040	1042	1055	996	1032
Arx_ENSMUST00000187010_93286382_93286400	ENSMUST00000187010_Arx	275	760	951	879	674	756	803
