sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
Btk_ENSMUST00000150245_134582530_134582512	ENSMUST00000150245_Btk	459	1261	2147	1937	1963	1460	2013
Sowahd_ENSMUST00000060057_37048605_37048623	ENSMUST00000060057_Sowahd	635	2107	1963	2513	1948	2251	2242
Usp26_ENSMUST00000069509_51801117_51801135	ENSMUST00000069509_Usp26	296	1055	1058	1473	1090	1079	1185
Uxt_ENSMUST00000129899_20962072_20962090	ENSMUST00000129899_Uxt	108	328	314	375	428	323	395
Cfp_ENSMUST00000122862_20927672_20927654	ENSMUST00000122862_Cfp	204	591	560	530	516	633	797
Magt1_ENSMUST00000151689_106012296_106012314	ENSMUST00000151689_Magt1	199	614	735	641	579	623	688
Mtmr1_ENSMUST00000130179_71393738_71393720	ENSMUST00000130179_Mtmr1	131	380	333	366	316	518	419
Gm18336_ENSMUST00000180787_73398902_73398884	ENSMUST00000180787_Gm18336	372	1060	1040	1217	1070	1014	1161
Timm17b_ENSMUST00000150541_7906008_7906026	ENSMUST00000150541_Timm17b	221	562	560	731	603	608	661
Cybb_ENSMUST00000164685_9469462_9469480	ENSMUST00000164685_Cybb	411	931	1057	1085	982	1015	1020
Gm6787_ENSMUST00000123120_8096929_8096947	ENSMUST00000123120_Gm6787	405	1252	1442	1411	1343	1376	1583
Cdk16_ENSMUST00000148757_20696237_20696255	ENSMUST00000148757_Cdk16	451	1339	1262	1420	1222	1392	1310
Arhgap4_ENSMUST00000149774_73900021_73900039	ENSMUST00000149774_Arhgap4	385	1228	1433	1196	1231	1393	1568
2010308F09Rik_ENSMUST00000186931_13247805_13247823	ENSMUST00000186931_2010308F09Rik	169	648	603	670	568	633	678
Frmpd4_ENSMUST00000112149_168123487_168123469	ENSMUST00000112149_Frmpd4	173	419	493	483	395	504	527
Gm6292_ENSMUST00000120712_105140574_105140556	ENSMUST00000120712_Gm6292	363	1008	1103	1273	991	1039	1253
Gm44_ENSMUST00000172155_90891922_90891940	ENSMUST00000172155_Gm44	347	968	1061	1040	989	1136	1276
Akap14_ENSMUST00000046557_37168958_37168976	ENSMUST00000046557_Akap14	676	1738	1961	1830	1530	1811	2227
Tspan6_ENSMUST00000176718_133898433_133898451	ENSMUST00000176718_Tspan6	249	606	723	639	645	690	656
Sh3kbp1_ENSMUST00000128185_159942671_159942653	ENSMUST00000128185_Sh3kbp1	141	428	340	530	405	394	383
Rbmx2_ENSMUST00000139150_48706063_48706045	ENSMUST00000139150_Rbmx2	545	1670	1533	1777	1519	1577	1655
